transDe,randomVAE,sourceVAE,random,gradient_steps
572.9800167674199,600.8680539802183,768.4201103534549,581.055744069675,1
482.0019916601479,595.3822198847774,704.4069517326076,603.1428716693539,5
442.7321426453069,562.468439866323,615.8175595780834,590.7652829254512,10
412.2410879310686,520.8593983252067,597.0728472698014,600.1184541883413,20
358.8098543656524,446.4238579242956,487.7757118513808,567.1663955439814,40
271.43958216682074,422.215958049288,440.877523435466,602.7813396310434,66
255.84577120300384,421.4956341417972,431.28558587203736,600.2268765510526,100
249.37745460104196,373.15718137198127,427.9928807997145,587.8593992180191,125
225.41994395647197,391.7069336679764,409.6449869400356,582.4796953695826,166
225.3196321297437,369.3504328503739,390.0655974311288,599.3806067876983,200
